New column,New column (1)
àrdičína,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àrdičína medm. (ȁ-ȋ) nar. gorenjsko izraža podkrepitev trditve: ardičina! je vzkliknil; ardičina, kako so šli! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àrdigáta,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àrdigáta medm. (ȁ-ȃ) nar. izraža podkrepitev trditve: ardigata, pijača bi se prilegla! ardigata, ali ni srčkana! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
árnica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n árnica -e ž (ȃ) nar. planinska trava ali planinsko seno: arnica je ležala v dolgih ravnih vrstah po senožetih \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
áškrc,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n áškrc -a m (ȃ) nar. vzhodnoštajersko \n1. majhen kos, odrezek: aškrc platna\n2. slabš. majhen človek, otrok: ta aškrc mi povzroča same skrbi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
áte,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n áte -ta in -ja m (ā) nar., v družinskem okolju ata, oče: ali so ate doma? ateta dolgo ni \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
átej,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n átej -a m (ȃ) nar. koroško, v družinskem okolju ata, oče: atej in mama sta šla k teti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
babkovína,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n babkovína in bábkovina -e ž (í; á) nar. češmin \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bácka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bácka -e ž (ȃ) \n1. ljubk. mlada ovčja samica, jagnje: najrajši je imel najmlajšo backo\n2. nar. ovca sploh: čreda back\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
báči,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n báči -ja m (ȃ) nar., zapostavljeni pristavek k moškemu imenu stric, striček: Postal je pri meni .. pokazal na gozd in rekel: Lacko bači, tu v tem gozdu leži milijon (M. Kranjec) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bádnik,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bádnik -a m (ȃ) nar. belokranjsko badnjak \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bádnjak,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bádnjak -a m (ȃ) nar. belokranjsko dan pred božičem: na badnjak je bilo\n♦ etn. panj, debelo poleno, ki na božični večer gori v peči \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bádnji,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bádnji -a -e prid. (ȃ) nar. belokranjsko nanašajoč se na dan pred božičem: badnji večer \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bága,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bága -e ž (á) nar. severovzhodno gošča, ostanki v pipi: drži se ga vonj po stari bagi / žvečiti bago \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bajtíga,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bajtíga -e ž (í) nar. majhna, preprosta hiša; bajta: Voruh je prevzel večjo poseko lesa v žlebu za Radmanovo bajtigo (Prežihov) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bakalá,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bakalá m neskl. (ȃ) nar. primorsko posušena riba trska; polenovka: okusno pripravljen bakala \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baladúr,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n baladúr -ja m (ȗ) nar. nadstropni hodnik ob hiši: Kras je imel zadosti arhitektonskih prvin s svojimi portali, kolonami in baladurji (B. Pahor) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balár,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balár -ja m (ȃ) nar. zahodno leseno plesišče na prostem, oder: zavrtela sta se po balarju \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bàle,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bàle medm. (ȁ) nar. dolenjsko pridi, pojdi: bale noter! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bàli,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bàli -te medm. (ȁ) nar. dolenjsko pridi, pojdi: bali noter! bali domov! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balíncanje,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balíncanje -a s (ȋ) nar. balinanje: prostor za balincanje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balíncar,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balíncar -ja m (ȋ) nar. balinar: slovel je kot spreten balincar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balíncati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balíncati -am nedov. (ȋ) nar. balinati: celo popoldne je balincal \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
balíž,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n balíž tudi balíš -a m (í) nar. nevestina oprema; bala: baliž vozijo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bandêrar,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bandêrar -ja m (ȇ) nar. koroško zastavonoša v ženitovanjskem sprevodu \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bángar,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bángar -ja m (á) nar. osrednje podboj: odprl je vrata in se naslonil na bangar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bánjka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bánjka -e ž (ȃ) nar. dolenjsko ploščata posoda za prenašanje tekočin: na hrbtu je nesel težko banjko vina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bànk,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bànk bánka m (ȁ á) nar. delovna miza, pult: mizarski bank; V kotu za točilnim bankom je bil telefonski aparat (B. Pahor) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baráčnica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n baráčnica -e ž (ȃ) nar. vzhodno astra \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baratáti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n baratáti -ám nedov. (á ȃ) nar. kupčevati, prekupčevati: baratati z lesom \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
barbír,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n barbír -ja m (í) nar. padar, mazač: Bila sem pri barbirju, rekel mi je, da ne bi smela hoditi (M. Kranjec) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bardún,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bardún in bardón -a m (ȗ; ọ̑) nar. vilice, s katerimi lovijo ribe; osti: V grmu, ki je visel nad vodo, so takoj staknili štirizobati bardun na močnem, dolgem drogu (F. Godina) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baréd,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n baréd -a m (ẹ̑) nar. zahodno neobdelan, zapuščen svet: ozki baredi s porumenelo travo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
baríl,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n baríl -a m (ȋ) nar. lesen ročni sodček: piti iz barila \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
barílec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n barílec -lca m (ȋ) nar. lesen ročni sodček: natočiti barilec vina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bàrt,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bàrt bárti ž (ȁ ȃ) nar., s števnikom ali z izrazom količine krat: Odkar je bila Meta pregnana s Karnic, jo je le nekaj barti videl (Prežihov) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
barúfa,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n barúfa -e ž (ū) nar. primorsko prepir, zdraha: same barufe dela / iz barufe je odnesel bunke iz pretepa \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
básati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n básati bášem tudi básam nedov., tudi basájte; tudi basála (á ȃ) \n1. s silo polniti, tlačiti: basati pipo / basati si jabolka v žepe\n2. polniti orožje z naboji; nabijati: basati puško / basati možnar\n3. nar. gorenjsko seliti se: vrgli so me iz bajte, še danes moram basati\n4. brezoseb., pog. biti v stiski, zlasti glede na denar, čas: ob koncu meseca ga vselej baše; zdaj se obirate, potem vas bo pa basalo\nbásati se pog. \n1. tlačiti se, riniti se: potniki so se basali v avtobus\n2. naglo, pohlepno jesti: otroci se bašejo s potico\n● redko počasi se je basala s koleslja nerodno lezla, kobacala\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bávh,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bávh -a m (ȃ) nar. koroško belkast vol \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bávha,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bávha -e ž (ȃ) nar. koroško belkasta krava \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bávša,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bávša -e ž (ȃ) nar. belkasta krava: Bavša je dvignila rep in nerodno zaritala po vrtu (C. Kosmač) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
becáti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n becáti -ám [bəc] nedov. (á ȃ) nar. brcati: kočijaž je becal konje; becal ga je z nogo pod mizo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bèč,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bèč -à in -a [bəč] m (ə̏ ȁ, ə̀) nar. zahodno sod \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bedánec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bedánec -nca m (á) nar. gorenjsko, po ljudskem verovanju moškemu podobno kosmato bitje, ki prebiva v gozdu; divji mož \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bedeníca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bedeníca -e ž (í) nar. narcisa: gmajna, posuta z dehtečimi bedenicami \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bedènj,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bedènj -dnjà tudi bèdenj -dnja [bəd] m (ə̏ ȁ; ə̀) nar. kad, čeber: stresati grozdje v bedenj \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bedénka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bedénka -e ž (ẹ́) nar. narcisa \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bednjár,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bednjár -ja [bəd] m (á) nar. izdelovalec kadi, čebrov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
begánica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n begánica -e [tudi bəg] ž (ȃ) nar. gorenjsko snop šibja in zelenja za cvetno nedeljo; butara: vitke in visoke beganice \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beláč,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n beláč -a m (á) nar. belokranjsko kdor beli, lička koruzo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belačíca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belačíca -e ž (í) nar. belokranjsko ženska, ki beli, lička koruzo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bélče,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bélče -ta [tudi u̯č] m (ẹ̑) nar. zahodno belkasta žival, navadno konj; belec: belče se je pognal v dir \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belíca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belíca -e ž (í) rabi se samostojno ali kot prilastek \n1. belkasta žival: kokoš belica\n2. svetel sadež ali rastlina, ki ga rodi: češnja, figa belica; pesn. pšenica belica\n3. nar. prekmursko jajce: ubiti belico v juho\n♦ agr. belica konoplja z moškimi cveti; zool. belica majhna srebrno bela sladkovodna riba, Leucaspius delineatus; kuna belica\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belíti,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belíti1 in béliti -im nedov. (ī ẹ́) \n1. pokrivati (stene) z beležem ali z belilom: beliti hišo, stene; pog. beliti z apnom; pren. sneg beli gore\n2. delati kaj bolj belo ali razbarvati: beliti perilo, platno / beliti lase\n● star. otroci mu belijo glavo, lase mu povzročajo velike skrbi; strokovnjaki si že dolgo belijo glavo s tem vprašanjem veliko razmišljajo o vprašanju; star. v šolah si beli glavo si s trudom pridobiva znanje\n3. odstranjevati lubje: beliti deblo; beliti palico z nožem\n // nar. odstranjevati lupino, kožo: beliti koruzo, krompir; beliti prašiča\n4. redko močno segrevati: beliti peč za kruh\nbelíti se in béliti se knjiž. \n1. belo odsevati, bleščati se: breze se belijo v gozdu; hiša se beli izza dreves; na vrhovih se beli prvi sneg\n2. postajati bel, svetel: lasje se mu belijo; na vzhodu se že beli\nbelèč -éča -e: ravnina z belečimi se vasmi\nbéljen -a -o: beljena preja; po starem beljene hiše\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belják,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belják -a m (á) \n1. prozorna sluzasta snov v jajcu: ko beljak zakrkne, jed serviramo; jajčni beljak; sneg iz beljakov\n2. redko beljakovina: mlečni beljak\n3. nar. vzhodno belo (v očesu): pogledal me je z beljaki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belorépec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belorépec -pca m (ẹ̑) \n1. zool. planinskemu orlu podobna ptica ujeda, Haliaëtus albicilla: pod nebom kroži mogočen belorepec\n2. nar. ptica pevka z belim perjem po trebuhu in repu; kupčar: gnezda ščinkavcev in belorepcev\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belorítka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belorítka -e ž (ȋ) nar. ptica pevka z belim perjem po trebuhu in repu; kupčar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bélša,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bélša -e [u̯š] ž (ẹ̑) nar. zahodno belkasta krava \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belúha,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n belúha -e ž (ū) nar. koroško bela kokoš \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béna,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n béna -e ž (ẹ́) nar. belokranjsko, ekspr. neumnež, bedak: beži, bena! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bendíma,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bendíma -e ž (ȋ) nar. zahodno trgatev: bogata bendima \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
benediktínka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n benediktínka -e ž (ȋ) \n1. redovnica reda sv. Benedikta: samostan benediktink / šolala se je pri benediktinkah\n2. nar. zdravilna rastlina z rumenkastimi cveti in trnato nazobčanimi listi; žegnana kopriva: rano je umila z vodo benediktinke\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beráč,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n beráč2 -a m (á) \n1. nar. vzhodno obiralec grozdja; trgač: po vinogradih se razlega pesem beračev\n2. nar. zahodno košek, cajna: pobirati sadje v berače\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bêrek,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bêrek -a m (ȇ) nar. stara, nekdanja rečna struga, močvirje: Stare vrbe ob bereku so bile polne gnezd (F. Godina) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
berlín,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n berlín -a m (ȋ) nar., nekdaj občinski zapor: Preden boš kaj zinil, boš že sam smradil tolminski berlin! (I. Pregelj) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bérnja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bérnja -e ž (ẹ̑) nar., nekdaj dajatev učitelju ali cerkvenim ljudem; bera: priti po bernjo; desetina in bernja; vinska bernja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béroš,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n béroš -a m (ẹ̑) nar., nekdaj hlapec v graščini, na veleposestvu: Bil je preprost kmet, mogoče celo beroš, ki mu je vojaška obleka in kapa stala nerodno (F. Godina) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beróvnja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n beróvnja -e ž (ọ̑) nar. zahodno, nekdaj dajatev učitelju ali cerkvenim ljudem; bera: računal je, kolikšna bo berovnja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beséditi,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n beséditi -im nedov. (ẹ̄ ẹ̑) knjiž., redko besedovati: besedili so o upanju in tolažbi / začne tiho besediti\nbeséditi se nar. pričkati se, prepirati se: Tako sta se besedila gospoda še nekaj časa (I. Pregelj) \n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bêteg,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bêteg -éga m (ē ẹ́) nar. vzhodno bolezen: beteg me muči / veliki beteg ga meče božjast \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bevánda,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bevánda -e ž (ȃ) nar. zahodno z vodo mešano vino: piti bevando \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bèza,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bèza -e [bəz] ž (ə̀) nar. zahodno bezeg: jagode beze \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bézgati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bézgati -am nedov. (ẹ̑) nar. dirjati, divjati: otroci so bezgali med bajtami \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béži,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n béži -te medm. (ẹ̄) izraža začudenje, zavrnitev: eh, beži, beži, saj ti nič ni; beži no, nikoli ne boste zmagali; beži no, beži; ah, bežite, bežite, nič vam ne verjamem / nar. da se je oženil? Beži kam; prim. bežati \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíca,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíca2 -e ž (ȋ) nar. severozahodno ovca: zapazil je ujedo, ki je napadla bico \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bícek,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bícek -cka m (ȋ) nar. severozahodno mlad ovčji samec; bacek: bicek je že začel butati \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bícka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bícka -e ž (ȋ) nar. ovca: Za bickami se je pognala tudi belo oblečena deklica z žemljo v rokah (Prežihov) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíglica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíglica -e ž (ȋ) nar. vžigalica: prižgati biglico \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíkec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíkec -kca m (ȋ) \n1. mlad bik: oglasilo se je mukanje lačnih bikcev\n2. nar. okrogla ali štirioglata železna pečica: Mariča, Štef in Orlek so sedeli okrog majhnega okroglega bikca, v katerem je tlela žerjavica (F. Godina) \n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíkič,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíkič -a m (ȋ) nar. vzhodno bikec: lepo raščen bikič \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíl,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíl -à -ó in -ò opisni deležnik od biti sem (ȋ ȁ ọ̄) v zvezi sem bil itd. in opisnim deležnikom \n1. od dovršnih, redko nedovršnih glagolov; raba peša, razen kadar je preddobnost poudarjena izraža dejanje, ki je bilo že končano, ko je nastopilo drugo: popolnoma se je bilo zmračilo, že so gorele cestne svetilke; postaral se je bil od sile, brado je imel že čisto sivo; v skupščini je branil stališče, ki ga je bil že prej obrazložil / deževalo je bilo, pa mu je spodrsnilo; pisal nam je bil, potlej je pa še brzojavil\n2. od nedovršnih glagolov, redko izraža dejanje, odmaknjeno v daljno preteklost: srečala je žensko, s katero je bila prejšnje čase dosti govorila\n3. nar. zahodno izraža preteklo dejanje sploh: ljudje so bili že pozabili, da sta se nekoč sprla; prim. biti sem, bi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíncati,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíncati -am nedov. (ȋ) nar. vzhodno pobrcavati, brcati: dojenček živahno binca z nogami; konj binca / sedel je na veji in bincal z nogami bingljal \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bínkoštnica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bínkoštnica -e ž (ī) nar. potonika \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíren,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bíren -rna in bírenj -rnja m (í) nar. prostorninska mera, navadno za žito, približno 80 l: Dihurjeva bajta je imela pet njiv, na največjo je prišlo nekaj okrog dva birna posetve (Prežihov) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
