New column,New column (1)
alternatívec,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n alternatívec -vca m, člov. (ȋ) \n1. kdor pripada alternativi: Sprejemljivi so za večino slovenskih medijev, čeprav so alternativci \n2. pog. kdor se ukvarja z zdravljenjem po metodah alternativne medicine; zdravilecSSKJ, zdravitelj: Dialoga med alternativci in uradno medicino ni E ↑alternatíva \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
alternatívka,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n alternatívka -e ž, člov. (ȋ) \n1. ženska, ki pripada alternativi: Izvajalka je kljub pop zvrsti alternativka, saj se upira mainstreamu in blišču \n2. pog. ženska, ki se ukvarja z zdravljenjem po metodah alternativne medicine; zdravilka, zdraviteljica: Že pred leti me je neka alternativka opomnila, da imam gastritis E ↑alternatívec \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
ámen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ámen medm. (ā) rel. izraža potrditev, željo: reši nas hudega, amen / kaplan je odzdravil: na veke amen; pren., ekspr. ne pustim, pa amen; sam.: šele pri amenu se je zbudil\n● pog. z njim je amen izgubljen je, umrl bo; ekspr. izblebetal je vse do amena, do amena vse popolnoma vse; to je gotovo kot amen v očenašu popolnoma, čisto \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
Amêrika,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n Amêrika -e ž (ȇ) celina med Atlantskim in Tihim oceanom: Severna Amerika; odkritje Amerike / Latinska Amerika države Srednje in Južne Amerike\n● iron. misli, da bo odkril Ameriko kaj novega; šalj. stric iz Amerike bogat in radodaren človek\n // pog. Združene države Amerike: izseliti se v Ameriko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
amerikánec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n amerikánec -nca m (ȃ) pog. \n1. kdor se izseli v Ameriko ali vrne iz nje: amerikanci so na obisku v Evropi\n2. kar je po izvoru iz Amerike: vinograd, zasajen z amerikancem / prepeva ob litru amerikanca / žarg. poglej, kako imenitno teče tistile amerikanec ameriški kasač\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
amerikánka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n amerikánka -e ž (ȃ) pog. \n1. postrv z rdečkasto progo vzdolž telesa; šarenka: ribogojnica skrbi za zarod soške postrvi in amerikanke\n2. gozdna žaga s posebno brušenimi zobmi: žagati z amerikanko\n3. kar je po izvoru iz Amerike: cepiti žlahtno trto na amerikanko / publ. gledališče je v letošnji sezoni uprizorilo dve amerikanki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
amerikánski,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n amerikánski -a -o prid. (ȃ) \n1. pog. ameriški: kamion amerikanske znamke / vse je potekalo z amerikansko naglico\n2. nanašajoč se na amerikance: za vrati je stal pripravljen amerikanski kovček\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
amerikánščina,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n amerikánščina -e ž (ȃ) nav. slabš. ameriška angleščina: kot Anglež ni prenesel njegove amerikanščine; v filmu govorijo čisto amerikanščino / stric Janez je govoril čudno amerikanščino materinščino s primesmi ameriške angleščine\n // pog. amerikanizem: navdušuje se za kavbojke in vso tisto amerikanščino \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àmpak,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àmpak prisl. (ȁ) pog., v medmetni rabi \n1. izraža veliko mero: ampak smo imeli srečo! / iron. ampak si pameten!\n2. izraža začudenje, nevoljo: ampak, da je to mogoče! ampak, otroci, tega pa ne!\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àmpak,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àmpak in ampak vez. (ȁ) v protivne priredju \n1. za uvajanje nove trditve namesto prej zanikane: ne piše za mladino, ampak za odrasle; ni si upal naprej, ampak se je ustavil pred vrati; prosil ga nisem jaz, ampak narobe, on mene\n2. nav. ekspr., v zvezi ne samo, ne le — ampak tudi za širjenje, stopnjevanje prej povedanega: ni le svetoval, ampak tudi pomagal; dobil je ne le večerjo, ampak tudi prenočišče; v njem ni imel samo predstojnika, ampak tudi prijatelja / obraz ni bil več samo bled, ampak bel kakor kreda; nič nima, ampak prav nič\n3. ekspr. za izražanje nasprotja s prej povedanim: lista po knjigi, ampak uči se ne; takrat sem že vedel, kaj je denar, ampak prepozno; lep je, ampak drag\n4. pog., ekspr., na začetku (od)stavka za opozoritev na prehod k drugi misli: Ampak pogovarjajmo se rajši o čem drugem! ampak to pa že moram reči, da je bila pametna ženska; ampak čast komur čast, govoriti pa znaš\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
anglíst,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n anglíst -a m (ȋ) strokovnjak za anglistiko: eden najbolj znanih slovenskih anglistov / seminar za profesorje angliste / pog. sestanek anglistov iz drugega letnika slušateljev oddelka za anglistiko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; anglíst -a m (ȋ) strokovnjak za anglistiko: eden najbolj znanih slovenskih anglistov / seminar za profesorje angliste / pog. sestanek anglistov iz drugega letnika slušateljev oddelka za anglistiko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ángloamerikánščina,"SNB Kliknite, če želite geslo skopirati v odložišče \n \n ángloamerikánščina -e ž (ȃ-ȃ) pog. \nameriška angleščina: Angloamerikanščina je tako rekoč povsem naravno in neprisiljeno postala svetovni sporazumevalni jezik E iz ángloamerikánski 'angloameriški' ← agl. Anglo-American \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016.; ángloamerikánščina -e ž (ȃ-ȃ) pog. \nameriška angleščina: Angloamerikanščina je tako rekoč povsem naravno in neprisiljeno postala svetovni sporazumevalni jezik E iz ángloamerikánski 'angloameriški' ← agl. Anglo-American \nSlovar novejšega besedja slovenskega jezika, www.fran.si, dostop 4. 12. 2016."
angórec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n angórec -rca m (ọ̑) pog. angorski kunec: gojiti angorce \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; angórec -rca m (ọ̑) pog. angorski kunec: gojiti angorce \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
angórka,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n angórka -e ž (ọ̑) pog. \n1. angorska koza: dlaka angorke\n2. angorska mačka: čistokrvna angorka\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; angórka -e ž (ọ̑) pog. \n1. angorska koza: dlaka angorke\n2. angorska mačka: čistokrvna angorka\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ántitalènt,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ántitalènt -ênta m (ȃ-ȅ ȃ-é) pog. kdor nima nobene sposobnosti, nadarjenosti za določeno stvar: biti izrazit antitalent za matematiko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; ántitalènt -ênta m (ȃ-ȅ ȃ-é) pog. kdor nima nobene sposobnosti, nadarjenosti za določeno stvar: biti izrazit antitalent za matematiko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aparát,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aparát -a m (ȃ) \n1. priprava za opravljanje določenega dela: aparat dela brez napake; vključiti aparat; električni aparat; optični aparati / rabi se samostojno ali s prilastkom: brivski, projekcijski, radijski, rentgenski, telefonski aparat; aparat za gašenje; ekspresni aparat za kavo / redko na letališču so pristajali lovski aparati letala\n // pog. fotografski aparat: ali imaš aparat s seboj? vstaviti film v aparat\n2. anat. skupina organov z določeno funkcijo: motnje v prebavnem aparatu; zdravnik je preiskal ves bolnikov slušni aparat\n♦ šport. gibalni aparat kosti, sklepi, mišice\n3. skupina ljudi, organizacij, zavodov z določeno nalogo, zlasti v javni upravi: občina je zmanjšala svoj aparat; administrativni, gospodarski, upravni, vojaški aparat; povečevati, vzdrževati državni aparat; policijski aparat je takoj stopil v akcijo; mobilizirali so ves propagandni aparat\n4. dokumentacija, pripombe k literarnemu ali znanstvenemu delu: knjiga je opremljena z obširnim aparatom; kritični, znanstveni aparat\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; aparát -a m (ȃ) \n1. priprava za opravljanje določenega dela: aparat dela brez napake; vključiti aparat; električni aparat; optični aparati / rabi se samostojno ali s prilastkom: brivski, projekcijski, radijski, rentgenski, telefonski aparat; aparat za gašenje; ekspresni aparat za kavo / redko na letališču so pristajali lovski aparati letala\n // pog. fotografski aparat: ali imaš aparat s seboj? vstaviti film v aparat\n2. anat. skupina organov z določeno funkcijo: motnje v prebavnem aparatu; zdravnik je preiskal ves bolnikov slušni aparat\n♦ šport. gibalni aparat kosti, sklepi, mišice\n3. skupina ljudi, organizacij, zavodov z določeno nalogo, zlasti v javni upravi: občina je zmanjšala svoj aparat; administrativni, gospodarski, upravni, vojaški aparat; povečevati, vzdrževati državni aparat; policijski aparat je takoj stopil v akcijo; mobilizirali so ves propagandni aparat\n4. dokumentacija, pripombe k literarnemu ali znanstvenemu delu: knjiga je opremljena z obširnim aparatom; kritični, znanstveni aparat\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
apezéjevec,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n apezéjevec -vca m (ẹ̑) pog., do 1941 član Akademskega pevskega zbora: zadnji koncert apezejevcev v decembru 1941\n // po drugi svetovni vojni član Akademskega pevskega zbora Tone Tomšič: apezejevci so peli partizanske in narodne pesmi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; apezéjevec -vca m (ẹ̑) pog., do 1941 član Akademskega pevskega zbora: zadnji koncert apezejevcev v decembru 1941\n // po drugi svetovni vojni član Akademskega pevskega zbora Tone Tomšič: apezejevci so peli partizanske in narodne pesmi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ápno,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n ápno -a s (á) bela snov, ki nastane iz apnenca, če se ta žge: prodajati apno; gnojiti z apnom / gasiti apno živo apno polivati z vodo; kuhati, žgati apno pridobivati apno z žganjem apnenca; gašeno apno spojina žganega apna z vodo; klorovo apno spojina klora z gašenim apnom za beljenje tkanin ali razkuževanje; žgano, živo apno negašeno\n♦ agr. klajno apno dodatek k živinski krmi, vsebujoč zlasti kalcij in fosfor; grad. hidrirano apno apno, ki je industrijsko gašeno z malo vode, da ostane suho\n // pog. z vodo mešano gašeno apno; belež: beliti z apnom / vložiti jajca v apno \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; ápno -a s (á) bela snov, ki nastane iz apnenca, če se ta žge: prodajati apno; gnojiti z apnom / gasiti apno živo apno polivati z vodo; kuhati, žgati apno pridobivati apno z žganjem apnenca; gašeno apno spojina žganega apna z vodo; klorovo apno spojina klora z gašenim apnom za beljenje tkanin ali razkuževanje; žgano, živo apno negašeno\n♦ agr. klajno apno dodatek k živinski krmi, vsebujoč zlasti kalcij in fosfor; grad. hidrirano apno apno, ki je industrijsko gašeno z malo vode, da ostane suho\n // pog. z vodo mešano gašeno apno; belež: beliti z apnom / vložiti jajca v apno \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
aprovizácija,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n aprovizácija -e ž (á) \n1. zlasti v vojnem času organizirano preskrbovanje z življenjskimi potrebščinami: aprovizacija z moko, mastjo in kurivom\n // pog. urad za tako preskrbovanje: mestna aprovizacija je slabo skrbela za prehrano\n2. življenjske potrebščine, nabavljene za daljše obdobje: dobiti, dostaviti aprovizacijo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.; aprovizácija -e ž (á) \n1. zlasti v vojnem času organizirano preskrbovanje z življenjskimi potrebščinami: aprovizacija z moko, mastjo in kurivom\n // pog. urad za tako preskrbovanje: mestna aprovizacija je slabo skrbela za prehrano\n2. življenjske potrebščine, nabavljene za daljše obdobje: dobiti, dostaviti aprovizacijo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
arcníja,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n arcníja -e ž (ȋ) nav. mn., nižje pog. zdravilo: vse arcnije vrzi stran, pa boš zdrav! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àrdún,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àrdún medm. (ȁ-ȗ) pog. izraža podkrepitev trditve: dobro smo jih, ardun; ardun! se je čudil \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
àrdúš,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n àrdúš medm. (ȁ-ū) pog. izraža močno podkrepitev trditve: arduš, sem se ustrašil; to je gorelo, arduš \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
arèst,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n arèst -êsta m (ȅ é) pog. zapor: aresti so bili polni; biti, sedeti v arestu / dobil je dve leti aresta \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
arestánt,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n arestánt in arestànt -ánta m (ā á; ȁ á) pog. zapornik, kaznjenec, jetnik: na dvorišče so prišli arestanti s paznikom; odvesti arestanta \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
