Entry content,Entrycontent link
"avgúr -ja tudi ávgur -a m (ū; ȃ) pri starih Rimljanih svečenik, ki iz ptičjega leta napoveduje usodo: avgur mu je napovedal srečno bodočnost; antični avgurji; pren., slabš. politični avgurji \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avgúr
"avstrijakánt in avstrijakànt -ánta m (ā á; ȁ á) slabš., nekdaj kdor se pretirano navdušuje za politično ureditev ali življenje v stari Avstriji: imeli so ga za avstrijakanta; zagrizen avstrijakant \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avstrijakánt
"avstrijakántstvo -a s (ā) slabš. avstrijakantska miselnost: očitali so mu avstrijakantstvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avstrijakántstvo
"avtomát -a m (ȃ) \n1. tehnična naprava, stroj, ki opravlja delo brez človekovega sodelovanja: zastarele stroje v tovarni so zamenjali avtomati; steklenice polnijo z avtomati; elektronski avtomat; računski, telefonski avtomat; avtomat za zavijanje cigaret; z namestitvijo avtomatov se je produkcija zelo zvišala; dela kakor avtomat brez prestanka, enakomerno; brez misli in volje, mehanično\n♦ voj. brzostrelka\n // aparat, ki kaj da ali naredi, če se spusti vanj kovanec: avtomat je prazen, ne dela; avtomat je igral stare popevke; restavracija ima poleg rulet tudi igralne avtomate; ob vhodu v trgovino visita dva avtomata za bonbone; avtomat za vozovnice, znamke\n2. slabš. kdor ravna ali kaj dela brez sodelovanja volje, zavesti: razmere so naredile iz njih avtomate / osebe njegovega romana so brezdušni avtomati\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avtomát
"avtomatízem -zma m (ī) stanje ali pojav, ki nastane sam od sebe, po lastnih zakonih: uvesti ekonomski avtomatizem / nav., slabš. obsojati liberalizem in avtomatizem v gospodarstvu; birokratski avtomatizem upravljanja\n // psih. dejanje, ravnanje brez sodelovanja človekove volje, zavesti: psihični avtomatizem; avtomatizem gibanja / družbeni, intelektualni avtomatizem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",avtomatízem
"aziát -a m (ȃ) nav. slabš. kdor je po izvoru iz Azije: zagorel aziat / vidi se, da je brezčuten aziat \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aziát
"aziátski -a -o prid. (ȃ) nav. slabš. azijski: necivilizirana aziatska dežela / poševne aziatske oči / aziatske navade surove, divje\naziátsko prisl.: njegov obraz je bil aziatsko brezčuten\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aziátski
"aziátstvo -a s (ȃ) nav. slabš. značilnost aziatskega: surovo aziatstvo; poteze, polne aziatstva \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",aziátstvo
"bába -e ž (á) \n1. slabš. ženska, navadno starejša: grda, stara baba; ekspr. prekleta baba nora\n● šalj. babe se zbirajo, dež bo; preg. kamor si hudič sam ne upa, pošlje babo ženski se posreči izpeljati tudi navidez nerešljivo zadevo\n // nizko (zakonska) žena: nikamor ne gre brez svoje babe\n2. ekspr. lepa, postavna ali sposobna ženska: baba pa je, baba\n3. ekspr. strahopeten ali klepetav moški: kaj se bojiš, baba! lahko mi poveš, saj nisem baba\n4. kar se rabi kot podstava, opora, podlaga: steber kozolca so postavili na betonsko babo; baba (pri klepalniku) babica\n♦ etn. baba zadnje snopje pri metju ali mlačvi; babo žagati šega ob koncu zimske dobe, da se prežaga lutka iz slame in cunj; pehtra baba po ljudskem verovanju bajeslovno bitje, ki nastopa v podobi hudobne ali prijazne starke\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bába
"babéla -e ž (ẹ̑) slabš. ženska: zijalasta babela; molči, babela! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babéla
"babétina -e ž (ẹ̑) slabš. ženska: prekleta babetina! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babétina
"bábiti se -im se nedov. (á ȃ) slabš., redko družiti se z ženskami \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bábiti se
"bábjak stil. bábjek -a m (ȃ) slabš. ženskar: to ti je velik babjak / ekspr. ti babjak, slepar\n // ekspr. bojazljiv človek: pustili so puške in zbežali, babjaki! \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bábjak
"bábji -a -e prid. (ȃ) slabš. \n1. ženski: babja radovednost; babje opravljanje / prepira so krivi babji jeziki; ekspr. to so babje čenče / ekspr. hudič babji\n● slabš. babji gregor ženskar, babjak; ekspr. babji semenj hrupen ženski klepet; ekspr. babja vera praznoverje\n2. nemožat, strahopeten: babje vedenje; ta človek je babjega srca\n♦ meteor. babje poletje ali poljud. babje leto doba lepega vremena v začetku jeseni; babje pšeno zrnate snežne padavine; prisl.: čisto po babje je javkal\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bábji
"bablè -éta s (ȅ ẹ́) slabš. ženska, navadno starejša: bable je bilo čisto iz sebe \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bablè
"bábnica -e ž (ȃ) \n1. slabš. ženska: narobe bo, ker so babnice vmes\n // (zakonska) žena: najraje tiči doma pri svoji babnici\n2. ekspr. lepa, postavna ali sposobna ženska: to ti je babnica in pol; znajde pa se, babnica\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bábnica
"babóvje -a s (ọ̑) slabš. ženske, ženstvo: polno babovja in otročadi se je nateplo tja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babóvje
"babšè tudi babščè -éta s (ȅ ẹ́) slabš. drobna ženska, navadno starejša: grdo, klepetavo, suho babše\n // iron. ženska sploh: vsako babše ga zmeša \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babšè
"babúra -e ž (ȗ) slabš. grda, zoprna starejša ženska: krmežljava, skopa babura\n // ženska sploh: še zmeraj lazi za tisto baburo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",babúra
"bahávs -a m (ȃ) slabš. bahač: širokoustni bahavs \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bahávs
"balkanizácija -e ž (á) nav. slabš. uvajanje balkanskih razmer: balkanizacija Evrope \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",balkanizácija
"balkanizírati -am nedov. in dov. (ȋ) nav. slabš. uvajati balkanske razmere: balkanizirati deželo; Evropa se balkanizira \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",balkanizírati
"balkánski -a -o prid. (ȃ) nanašajoč se na Balkan: balkanska država / Balkanski polotok / slabš. balkanske razmere neurejene\n♦ šport. balkanske igre športne prireditve balkanskih držav; zgod. balkanske vojne vojna med balkanskimi državami in Turčijo ter med Bolgarijo in drugimi balkanskimi državami v letih 1912-1913 \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",balkánski
"balkánstvo -a s (ȃ) nav. slabš. lastnosti, značilnosti Balkancev: očitali so jim balkanstvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",balkánstvo
"banánski -a -o prid. (ȃ) nanašajoč se na banano: bananska hrana / publ., slabš. bananske državice državice v Latinski Ameriki \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",banánski
"banávz -a m (ȃ) slabš. neotesanec, omejenec: imeli so ga za starokopitneža, banavza in filistra \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",banávz
"banávzarski -a -o prid. (ȃ) slabš. neotesan, omejen: ta oseba v komediji je banavzarska / banavzarski smeh \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",banávzarski
"banávzarstvo -a s (ȃ) slabš. neotesanost, omejenost: smešil je zaostalost in banavzarstvo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",banávzarstvo
"bánda -e ž (ȃ) \n1. slabš. skupina razbojnikov, tolpa: roparska banda / fašistične bande\n // pog. druščina, družba: popiva s svojo bando\n2. ed., pog., ekspr. ničvredni ljudje, sodrga: naši sosedje so sama banda\n3. star. godba: banda je zaigrala\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bánda
"bándati -am nedov. (ȃ) pog., slabš. veseljačiti, popivati: celo noč je bandal po mestu / kod si spet bandal? \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bándati
"barába -e ž (ȃ) slabš. ničvreden človek, malopridnež: to je čisto navadna baraba; ta baraba mi še do danes ni vrnil dolga; ali še vedno hodi s tisto barabo?\n // redko postopač, potepuh: barabe se nobene reči bolj ne bojijo kakor dela \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barába
"barabíja -e ž (ȋ) slabš. malopridno dejanje: naredil je novo barabijo / pooseb. družil se je z vso pocestno barabijo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barabíja
"barábstvo -a s (ȃ) slabš. malopridnost: za svoje barabstvo je dobil plačilo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barábstvo
"barantáč -a m (á) slabš. kupčevalec, prekupčevalec: v trg so prihajali sejmarji, barantači in mešetarji; zvijačen barantač \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barantáč
"barantíja -e ž (ȋ) raba peša \n1. kupčija, (pre)kupčevanje: napravil je dobro barantijo; barantija s konji; pren., slabš. razkrinkati politične barantije\n2. barantanje: barantija za njivo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barantíja
"barbár -a m (ȃ) \n1. za stare Grke in Rimljane pripadnik neciviliziranih ljudstev: vdor barbarov; boji z barbari\n2. slabš. nekulturen človek, surovež: ali sem tak barbar? civiliziran barbar\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barbár
"barbárstvo -a s (ȃ) neomikanost, primitivnost: izkopati se iz barbarstva\n // slabš. nekulturno, surovo dejanje: barbarstva okupatorske vojske\n♦ zgod. barbarstvo po Morganu in Engelsu druga stopnja v razvoju človeške družbe \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barbárstvo
"barkáča -e ž (á) čoln, zlasti za promet v pristaniščih: pripeljal se je na motorni barkači; pristaniška barkača\n // slabš. barka: s to barkačo se ne bom vozil\n♦ navt. večji čoln vojne mornarice \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",barkáča
"bastárd -a m (ȃ) \n1. biol. potomec staršev z različno dedno osnovo; križanec: ta pes je bastard\n2. slabš., redko nezakonski otrok, zlasti če so njegovi starši iz zelo različnih družbenih razredov: v hiši svojega bogatega očeta se je počutil tujca in bastarda\n // izrodek, izvržek: rekli so, da je svinja in bastard\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bastárd
"báža -e ž (á) nav. rod. ed., slabš. vrsta, sorta: sin je čisto druge baže kot oče; niso take baže ljudje, da bi goljufali; to je značilno za človeka njegove baže / tam prodajajo blago vsake baže\n● star. knjige vsake bire in baže različne vrednosti, navadno slabše vrste \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",báža
"beatles in beatle -a [bítls; bítl] m (ȋ; ī) nav. slabš. mlad fant z dolgimi lasmi, ki se vpadljivo oblači in vede: v orkestru so sami beatlesi; zakaj si tak beatles? neskl. pril.: ima beatles frizuro \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",beatles
"bêbec tudi bébec -bca m (é; ẹ̄) \n1. duševno nerazvit, slaboumen človek: bebec je buljil predse s praznimi očmi; otrok je bebec od rojstva\n2. slabš. omejen, neumen človek: s tem bebcem ne maram več imeti opravka; ti bebec!\n● ekspr. ne delaj se bebca ne kaži se neumnega, ne pretvarjaj se; ekspr. imeti koga za bebca norčevati se iz koga\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bêbec
"bebljáti -ám [bəb in beb] nedov. (á ȃ) \n1. nerazločno govoriti: pijanec beblja s težkim jezikom\n // poskušati govoriti, nepopolno izgovarjati: mala beblja\n2. slabš. govoriti, pripovedovati: neprestano beblja neumnosti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bebljáti
"bélček -čka [tudi u̯č] m (ẹ̑) \n1. ekspr. belkasta žival: od vseh zajčkov je imel najrajši belčka; osedlati (konja) belčka\n2. pog., slabš. belogardist, domobranec: to so nažgali belčke; Švabi in belčki napadajo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bélček
"bélec -lca [za žival tudi u̯c] m (ẹ̑) \n1. človek bele rase: boj za enakopravnost črncev in belcev\n2. belkasta žival, navadno konj: jahati na belcu; isker belec\n3. pog., slabš., redko belogardist, domobranec: belci in Lahi so napadli partizane\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bélec
"beloglávec -vca m (ȃ) nav. slabš. kdor ima bele, svetle lase: tisti beloglavec mi ni nič všeč \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",beloglávec
"belorók -a -o prid. (ọ̑ ọ̄) knjiž. ki ima bele roke: beloroka boginja\n // nav. slabš. ki ni navajen težkega dela: beloroka gospoda \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",belorók
"belúh -a m (ū) slabš., redko kdor ima belo, svetlo polt: saj nisem kak mestni beluh / beluhi zatirajo nas črnce ljudje bele rase \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",belúh
"beračón -a m (ọ̑) slabš. berač1: raztrgan beračon / ne boš vzela tega beračona \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",beračón
"besedávelj -vlja m (á) slabš., redko gostobeseden, zgovoren človek: besedavlji in puhloglavci \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",besedávelj
"besedún -a m (ȗ) slabš. kdor dosti in vsebinsko prazno govori: ne poslušaj teh besedunov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",besedún
"béstija -e ž (ẹ̄) knjiž. \n1. velika divja žival; zver: sestradana bestija je planila na plen; pren., slabš. kakšna bestija je v tej ženski\n2. ekspr. surov, zloben človek: te bestije so ga umorile\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",béstija
"bévskati -am tudi bêvskati -am nedov. (ẹ̑; ȇ) \n1. oglašati se s kratkim, rezkim glasom: pes, ščene bevska; lisica bevska; pren. mitraljezi so bevskali\n2. slabš. zadirčno govoriti s kom: kar naprej bevska name\nbevskajóč -a -e: ukazovati z bevskajočim glasom\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bévskati
"bévskniti -em tudi bêvskniti -em dov. (ẹ́ ẹ̑; é ȇ) \n1. oglasiti se s kratkim, rezkim glasom: ščene je bevsknilo\n2. slabš. zadirčno reči: uradnik je bevsknil na študenta / nejevoljno, surovo bevskniti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bévskniti
"bezgálnik -a [bəzgau̯nik] m (ȃ) slabš. slaba puška: Ali je to sploh orožje! To je bezgalnik! Ropotuljica za otroke! (C. Kosmač) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bezgálnik
"bezgóvka tudi bèzgovka -e [bəz] ž (ọ̄; ə̀) igrača iz bezgove veje za pokanje: otroci pokajo z bezgovkami\n // slabš. slaba puška \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bezgóvka
"bezníca -e ž (í) zakoten, zanemarjen gostinski lokal: vse dni se potika po beznicah; zakajena, zanikrna beznica; zloglasna beznica / slabš. počedi že enkrat to svojo beznico sobo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bezníca
"bezníčar -ja m (ȋ) nav. slabš. obiskovalec ali lastnik beznice: družiti se z bezničarji; kramarji in bezničarji \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bezníčar
"biciklíst -a m (ȋ) \n1. kdor se vozi s kolesom; kolesar: polna cesta biciklistov in pešcev / po drugi etapi so biciklisti počivali\n2. pog., slabš. kdor je ponižen pred nadrejenimi in priganjaški do podrejenih: »Biciklist« pravijo na terenu tovarišu, ki »upogne hrbet navzgor, navzdol pa pritiska« (B. Kidrič) \n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",biciklíst
"biciklízem -zma m (ī) \n1. vožnja s kolesom v prometu ali športu; kolesarstvo: motociklizem in biciklizem\n2. pog., slabš. ponižnost do nadrejenih in priganjaštvo do podrejenih: satira na biciklizem in suženjsko pokornost\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",biciklízem
"bìk bíka m (ȉ í) \n1. odrasel samec goveda: rediti bika; gnati kravo k biku; plemenski bik; pobesnel bik; rjove ko bik; močen ko bik; pog. gleda ko zaboden bik, kakor bik v nova vrata zelo neumno ali začudeno; to ga draži kot rdeča ruta bika zelo\n● pog. kamor je šel bik, naj gre še štrik če sem izgubil, zapravil veliko, lahko še to malenkost; zgrabiti bika za roge odločno se lotiti težkega, zahtevnega dela; ekspr. ne bodi se z bikom! ne nasprotuj človeku, ki ima večjo veljavo, moč kot ti; ne prepiraj se s trmastim človekom; rojen je v znamenju bika v času od 21. aprila do 21. maja\n2. ekspr. zelo močen in orjaški moški: ta bik vzdigne, kolikor hočeš; kako je močen in plečat, pravi bik\n // slabš. neumen, omejen, zabit človek: bik neumni! dopovej tem bikom, če moreš!\n♦ astr. Bik drugo ozvezdje živalskega kroga; zool. moškatni bik govedu podobna žival z dolgo dlako, ki živi v tundri, Ovibos moschatus\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bìk
"birokracíja -e ž (ȋ) \n1. družbeni sloj uradništva, ki vodi javno upravo: politična dejavnost prehaja od birokracije na ljudske množice / državna birokracija\n2. nav slabš. formalistično, neživljenjsko poslovanje uradništva: probleme obravnavajo z okostenelo birokracijo / bori se proti negativnim pojavom, kot so birokracija, formalizem\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",birokracíja
"birokrát -a m (ȃ) \n1. nav. slabš. uradnik, ki se formalistično, neživljenjsko drži predpisov: okostenel, omejen birokrat\n2. v zahodnih državah pripadnik visokega uradniškega sloja: bal se je zameriti visokim birokratom\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",birokrát
"birokrátičnost -i ž (á) nav. slabš. lastnost, značilnost birokratskega: birokratičnost sodne obravnave; birokratičnost poslovanja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",birokrátičnost
"birokratizácija -e ž (á) nav. slabš. uvajanje birokratizma: nasprotovati birokratizaciji; birokratizacija podjetij \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",birokratizácija
