Entry content,Entrycontent link
"bíti bíjem nedov., 3. mn. stil. bijó; bìl (í ȋ) \n1. močno, ostro zadevati se ob kaj: dež bije ob okna; plešoče noge bijejo ob tla; debele kaplje so mu bile v lice; veter jim bije v obraz; toča bije po strehi / preh., pesn. kolesa bijejo enakomerno pesem; pren. luč bije v oči; trušč nam bije v ušesa\n // udarjati z nogo, z roko ob kaj: biti s pestjo po mizi; konji bijejo s kopiti ob tla / konj bije in grize brca; togotno biti okoli sebe\n2. dajati komu udarce: bije in udriha; biti do krvi; biti po glavi; bije ga kot živino; biti se po čelu\n // knjiž., z notranjim predmetom udeleževati se oboroženega boja: biti odločilno bitko; biti boj s sovražnikom; bitke se bijejo; pren. biti hude duševne boje\n3. navadno v zvezi z ura z zvočnim znakom naznanjati čas: ima stensko uro, ki bije; preh. njihova ura bije tudi četrti; ura kaže tri in bije dve; pol bije; nar. ura je bila osmo osem; brezoseb. deset je bilo; pravkar bije pet\n4. navadno v zvezi s srce s širjenjem in krčenjem ritmično poganjati kri po žilah: srce mu še bije; srce bije divje, hitro; srce bije kot kladivo / žila komaj še bije / knjiž. kri živahno bije po žilah\n5. v zvezi biti plat zvona z udarjanjem na zvon naznanjati nevarnost, nesrečo: ko je videl, da gori, je stekel v zvonik in začel biti plat zvona; brezoseb. plat zvona je bilo; pren. problem ni tako hud, da bi bilo treba biti plat zvona\n // star. z udarjanjem povzročati, da glasbilo oddaja glasove; igrati, tolči: biti na cimbale; biti v boben\n6. knjiž., redko širiti se, prihajati od kod: iz zidu bije hlad; pren. iz njegovih besed bije sovraštvo\n● kap bije na prag od konca strehe padajo kaplje na prag; knjiž. na koga bije sum kdo je osumljen; vznes. zdaj bije naša ura zdaj je nastopil ugoden čas za nas, za naše delo; zdaj smo mi na vrsti, da kaj storimo; ekspr. zadnja ura mu bije umira; skrajni čas je, da to stori; ekspr. njegovemu tiranstvu bije zadnja ura bliža se konec njegovega tiranstva; vznes. zdaj bije ura ločitve zdaj se moramo ločiti; iron. saj vemo, koliko je ura bila kakšen je položaj; star. tuja vrata ga bodo bila po petah ne bo imel svojega doma; ekspr. kaj ga pa biješ kaj počenjaš neumnosti; biti (si) takt s palico dajati (si) takt; raba peša otroci bijejo žogo igrajo nogomet; rumena barva hiše bije v oči neprijetno učinkuje; njegovo vedenje bije v oči je zelo opazno; star. srce mu za drugo bije ljubi drugo\n♦ etn. kozo biti otroška igra, pri kateri igralci mečejo v stoječ predmet kamne, da bi ga prevrnili; rihtarja biti družabna igra, pri kateri eden od igralcev ugiba, kdo ga je udaril po zadnjici\nbíti se \n1. udeleževati se oboroženega spopada, boja: biti se za svobodo; biti se do zadnje kaplje krvi, do zadnjega; biti se na življenje in smrt; pren. novo se bije s starim\n // knjiž. dvobojevati se: zaradi žalitve se je bil z njim; star. biti se na sablje\n2. zelo si prizadevati za kaj: bili so se za delavske pravice\n3. biti v nasprotju s čim: tako ravnanje bi se bilo z njegovimi nazori / barve se bijejo med seboj\nbijóč -a -e: stopala je, bijoč s palico ob tla; bijoča ura; burno bijoče srce; v oči bijoča neumnost\nbít -a -o nar.: hiša iz bite ilovice zbite, steptane; deca je večkrat »bita ko sita« (I. Potrč) tepena\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bíti
"blág -a -o prid., blážji (ȃ ā) \n1. knjiž. poln dobrote, plemenitosti: bil je blag mož / ta človek je res blaga duša; materino blago srce / to je storil z blagim namenom\n2. knjiž. nežen, mil, prijeten: slišati je bilo blage akorde; njen blagi glas; blag nasmeh / dan je bil sončen in blag; pihal je blag vetrič; blagi vonj zemlje; blaga, ugašajoča svetloba / ostal nam je v blagem spominu / iron. pesnik XY blagega spomina\n3. ki se ne pojavlja v izraziti obliki: na blagem ovinku ga je zaneslo; letos je bila blaga zima / jopico operite v blagi milnici\n♦ med. blaga smrt pospešitev smrti iz usmiljenja; evtanazija\nblágo prisl.: mati ga je blago opomnila; blago dišeč zrak; blago valovita pokrajina; sam.: vse, kar je lepega in blagega\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",blág
"blágor -gra m (ȃ) \n1. ed., s prilastkom duhovna in materialna korist: skrbeti za blagor domovine; javni, narodov blagor / telesni in duhovni blagor\n // nav. mn., star. dobrina: zbirati posvetne blagre / iron. vsako jutro uživa blagre mestnega prometa\n2. ed., zastar. sreča, blagoslov: nad hišo počiva blagor nebes / žarg., lov. lovski blagor uspešen lov, obilen plen\n3. v medmetni rabi izraža veselje, zadovoljnost nad srečo koga: blagor ti, da si zdrav; blagor mu, da ni poznal naših težav; blagor blagor jim, ker se jim ni treba pripravljati za izpit; blagor, trikrat blagor mu; star.: blagor se ti; blagor si ga tistemu, ki jo bo dobil\n♦ rel. osmero blagrov povzetek krščanskega moralnega nauka\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",blágor
"blagoslòv -óva m (ȍ ọ̄) \n1. rel. prošnja za božjo naklonjenost, včasih z obredno kretnjo: dati, dobiti blagoslov; dvigniti roke k blagoslovu; materin blagoslov / apostolski blagoslov papežev\n // v krščanstvu obred z znamenjem križa: blagoslov z monštranco / zvoniti k blagoslovu k popoldanskemu cerkvenemu opravilu\n // blagoslov oljk blagoslovitev\n2. vznes. kar povzroča srečo, korist: ta človek je blagoslov za hišo / na tej hiši počiva božji blagoslov; klicati blagoslov na polje srečo, obilje; občutiti blagoslov dela; Vse blagoslove tebi, Ljubljana! (I. Cankar) \n● vznes. zakonski blagoslov otroci\n3. nav. iron. privoljenje, potrditev: dati blagoslov za kaj; Kar se je dotlej godilo več ali manj prikrito, je dobilo najvišji blagoslov (B. Ziherl) \n♦ etn. hišni blagoslov podoba z nabožnim besedilom\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",blagoslòv
"blagovóliti -im in blagovolíti -vólim dov. in nedov. (ọ́ ọ̑; ī ọ́) star., z nedoločnikom, spoštljivo milostno, dobrohotno kaj storiti: cesar je blagovolil potrditi mestne pravice / iron. nisem »plagiator«, kakor se je blagovolil izraziti moj kritik \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",blagovóliti
"bogabojéčnež -a m (ẹ̑) nav. iron. bogaboječ človek \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bogabojéčnež
"bogomólec -lca m (ọ̑) iron. zelo pobožen človek: bil je velik bogomolec \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bogomólec
"bogomólka -e ž (ọ̑) iron. zelo pobožna ženska: stara bogomolka\n♦ zool. roparska žuželka z grabežnima končinama, Mantis religiosa \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bogomólka
"bóter -tra m (ọ́) \n1. rel. zastopnik otroka pri krstu ali priča pri birmi: kdo bo tvoj boter; biti, iti za botra; birmanski, krstni boter; pren. tej komediji so kumovali razni literarni botri\n // navadno kot nagovor starejši znan moški; stric: boter, kam pa greste? / iron., šalj. ej, ne verjamem ti, boter! / pesn. boter Mesec\n2. častni zastopnik otroka pri vpisu osebnega imena v rojstno matično knjigo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bóter
"bótra -e ž (ọ́) \n1. rel. zastopnica otroka pri krstu ali priča pri birmi: botra je nesla otroka h krstu; teta ji bo za botro; birmanska botra\n // navadno kot nagovor starejša znana ženska; teta: botra, kaj se je pa zgodilo / iron., šalj. botra, to pa ne bo držalo!\n● tako je bil pijan, da je mački botra rekel da se ni zavedal, kaj dela\n2. častna zastopnica otroka pri vpisu osebnega imena v rojstno matično knjigo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bótra
"bôžji -a -e prid. (ó) \n1. rel. ki izhaja od boga, bogu lasten: božja kazen ga je zadela; božja ljubezen, pravičnost; prositi za božjo milost; z božjo pomočjo smo se rešili; naj bo, kakor je božja volja / vznes. zaželel jim je božjega blagoslova srečo, uspeh; star. Ferdinand, po milosti božji cesar Avstrije / Sin božji Kristus; vznes. poslušati božjo besedo evangelij, pridigo; Mati božja Kristusova mati; božja previdnost ga je vodila Bog; deset božjih zapovedi / božji rop oskrumba, onečaščenje česa svetega ali posvečenega\n // namenjen bogu: božja čast / star. služabnik božji duhovnik; knjiž. hiša božja, star. božji hram cerkev; služba božja maša\n // božji grob vidni spomin Kristusovega groba po cerkvah za velikonočne praznike\n2. v medmetni rabi, včasih kot zapostavljeni prilastek, z oslabljenim pomenom, v zvezi z nekaterimi besedami izraža\na) začudenje, presenečenje: križ božji, ali je to mogoče\nb) nejevoljo, nestrpnost: za božji čas, kakšno javkanje; miruj že, strela božja\nc) svarilo, opozorilo: ne govori tako, za božjo voljo\nč) podkrepitev, poudarek: človek božji, kaj govoriš! že ves božji dan sedi; na pomoč, ljudje božji; nikjer nimaš božjega miru; na vsem božjem svetu, pod božjim soncem ji ne najdeš enake\n● božji mir v srednjem veku od cerkvene oblasti zaukazana prepoved bojevanja ob določenem času, na določenem ozemlju, proti določenim osebam ali nasploh; vznes. ta dogodek je bil očiten prst božji svarilo, opomin, kazen; star. živeti v strahu božjem čednostno, pošteno; iron. ne bodi tak božji volek pohleven, mevžast; ekspr. če si božji, si sit dovolj si jedel; star. božja dekla smrt; pog., šalj. božja kapljica vino; star. v kotu je visela božja martra križ s podobo Kristusa; vznes. božja njiva pokopališče; iti na božjo pot romanje; tam je slavna božja pot romarska cerkev; star. izid bolezni je še v božjih rokah neznan, nejasen; božja sodba v srednjem veku postopek v sodstvu, pri katerem je moral osumljenec za dokaz svoje nekrivde prebiti krute, smrtno nevarne preizkuse; star. stopiti pred božjo sodbo umreti; star. šiba božja velika nesreča, nadloga; ekspr. za božjo voljo jih je prosila, naj ji pomagajo zelo; vznes. pesnik po božji volji velik, nadarjen; naj gredo v božjem imenu ne branim jim; šalj. potrpljenje je božja mast, samo revež je, kdor se z njo maže; preg. ljudski glas, božji glas ljudsko mnenje je navadno pravilno, odločujoče; preg. božji mlini meljejo počasi, pa gotovo sčasoma je vsak kaznovan za svoja slaba dejanja\n♦ bot. božji les ali božje drevce zimzelen grm s trnato nazobčanimi listi, Ilex aquifolium; božja milost zdravilna rastlina, ki raste na vlažnih bregovih in močvirnih travnikih, Gratiola officinalis; vrtn. božje drevo parkovno ali gozdno drevo z velikimi pernato razdeljenimi listi; pajesen; prisl.: častiti po božje; sam.: kdo si, božji? star. nima božjega v žepu denarja\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",bôžji
"carováti -újem nedov. (á ȗ) redko biti car, vladati kot car: takrat je v Rusiji caroval Aleksander I.\n // iron. gospodovati, vladati: v hiši je carovala žena / v politiki je carovala demagogija \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",carováti
"cárstvo -a s (ȃ) država, ki ji vlada car: rusko carstvo / iron. Hitlerjevo tretje carstvo\n // star. cesarstvo: francosko carstvo; pren. živeti v carstvu fantazije; carstvo blodenj, sanj \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",cárstvo
"civilizátor -ja m (ȃ) nav. iron. kdor širi, prinaša civilizacijo: beli civilizatorji \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",civilizátor
"copáta -e ž (ȃ) nav. mn. udobno obuvalo, navadno za doma: natakniti tople copate; gumijaste, klobučevinaste copate / kopalne, telovadne copate\n● iron. žena ima moža pod copato mu ukazuje\n // nav. ed., iron. mož, ki se v vsem podreja ženi: v službi so se ga bali, doma pa je bil copata \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",copáta
"copátarstvo -a s (ȃ) \n1. obrt za izdelovanje copat: nekoč je bilo v kraju zelo razvito copatarstvo\n2. iron. moževa pretirana podrejenost ženi: njegovo ravnanje meji že na copatarstvo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",copátarstvo
"cvét -a m, mn. cvéti in cvetóvi (ẹ̑) \n1. del rastline, značilen po lepi obliki in barvi: cvet se odpre, osuje, ovene; rastlina razvije cvet; utrgati cvet; čebele obletavajo cvet za cvetom; bel, dišeč, pisan cvet; češnjev, makov cvet; cvet vrtnice; barvitost cvetov / rastlina je že nastavila cvete pognala cvetne popke; roža gre v cvet začenja cveteti; solata gre v cvet poganja steblo s cveti; drevo bo kmalu v cvetu bo cvetelo; pren., pesn. razcvel se je cvet ljubezni; cvet upanja\n2. ekspr., navadno s prilastkom izbran, najlepši, najpomembnejši del: tam je bil zbran cvet deklet; cvet inteligence, naroda / bila je cvet deklet najlepša med dekleti; vznes.: biti v cvetu let, življenja mlad; umrla je v cvetu mladosti zelo mlada\n● iron. ta je šele (pravi) cvet živahen, podjeten, nevzgojen (mlad) človek; ekspr. ona je v polnem cvetu zelo lepa, mlada; star. bobov ali rožni cvet junij\n♦ bot. brezspolni cvet; dvospolni cvet ki ima prašnike in pestiče; enospolni cvet ki ima samo prašnike ali samo pestiče; goli cvet ki je brez cvetnega odevala; pestični ali ženski cvet ki ima samo pestiče; prašni ali moški cvet ki ima samo prašnike; farm. (vinski) cvet etanol, etilalkohol; min. žveplov cvet žveplo v obliki iglic\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",cvét
"cvétka -e ž (ẹ̑) manjšalnica od cvetica ali cvetlica: dišeča, nežna cvetka; jesenska cvetka; pren., ekspr. cvetka poezije\n● iron. to ti je (prava) cvetka lahkomiselno, lahkoživo dekle; ekspr. kje si pobral to cvetko neprimerno, nedostojno besedo; ekspr. tam je zrasla ta nežna cvetka to nežno dekle; iron. govor, poln retoričnih cvetk stilnih posebnosti; šalj. cvetke iz dijaškega življenja šaljive, zanimive zgodbe \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",cvétka
"cvetlíčast -a -o prid. (í) ki ima v vzorcu cvete, rože; rožast: cvetličasta bombaževina / knjiž., iron. cvetličasto pisanje preobloženo s stilnimi posebnostmi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",cvetlíčast
"cvetlíčenje -a s (ī) knjiž., iron. pretirano uporabljanje stilnih posebnosti: pisatelj si dovoljuje malo preveč cvetličenja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",cvetlíčenje
"čéden -dna -o prid., čédnejši (ẹ́ ẹ̄) \n1. precej lep: je visoke postave in čednega obraza; čedno dekle / oblečen je v čedno sivo obleko; pren., iron. no, čedna druščina! čedne stvari sem slišal o tebi\n2. raba peša čist, snažen: otroke ima zmeraj čedne in urejene / ekspr. njegove kupčije niso ravno čedne poštene, neoporečne\n3. ekspr. precej velik: plačal je čedno vsotico denarja; pridobil si je kar čedno premoženje / rad bi kako čedno službico dobro, donosno\nčédno prisl.: to dekle se čedno oblači\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",čéden
"čédnostnik -a m (ẹ́) nav. iron. kreposten človek: domnevni čednostnik \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",čédnostnik
"človéček -čka m (ẹ̑) \n1. manjšalnica od človek: pravkar rojeni človeček / ekspr. okrogel, zalit človeček s sijočimi lici\n2. iron. nepomemben človek: takile človečki ne morejo zavreti našega prizadevanja; nevedni in smešni človečki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",človéček
"čudovít -a -o prid., čudovítejši (ȋ) \n1. ki zaradi izredne lepote vzbuja občudovanje: dan je bil čudovit; pogled na naše mesto je čudovit; zvezde so žarele s čudovitim ognjem; deklica ima čudovite lase; čudovita svetloba; dekle je čudovito; to je naravnost čudovito\n // ekspr. nenavadno, izredno dober: bil je čudovit človek / razveselil se je čudovite ocene poezij / prijatelja sta čudovite volje\n2. nav. ekspr. ki se pojavlja v visoki stopnji: čudovit red; delo je opravljeno s čudovito natančnostjo / tak čudovit mir je tu; čudovita hitrost / iron. čudovita jezikovna mešanica\nčudovíto prisl.: ledeniki so se čudovito blesketali v soncu; ima čudovito dober spomin\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",čudovít
"dáleč prisl. (á) \n1. izraža veliko razdaljo, ant. blizu:\na) pri mirovanju: postaja je daleč; najbolj daleč; daleč naokoli najbogatejši; knjigo drži daleč od sebe; daleč po svetu znan; ekspr. daleč daleč spredaj; kmetije so daleč vsaksebi; tam daleč za drevjem; vidi le na daleč / ne daleč od hiše nedaleč; od daleč gledati, pozdravljati oddaleč\n // po mišljenju sva si daleč narazen; biti daleč od družbenega dogajanja, od resnice; v tehniki so daleč pred nami; ostal je daleč za časom\nb) pri premikanju: domov nima daleč; nocoj ne prideš daleč; premakniti mejo daleč naprej; spremil ga je daleč iz mesta; prevažati blago na daleč / od daleč se ga bom ognil oddaleč\n // izraža razdaljo sploh: izmeril je, kako daleč je skočil; do vode je uro daleč; kakor daleč seže oko, je sama ravnina; on stanuje bolj daleč kot jaz\n2. izraža veliko časovno oddaljenost: konec leta je še daleč; daleč nazaj najpomembnejši dogodek; pameten je in vidi daleč vnaprej, v prihodnji razvoj\n3. ekspr. izraža veliko mero: daleč presega vrstnike; tako daleč se spozabi, da ga udari / daleč močnejši nasprotnik; daleč najhitrejši; cena je daleč previsoka\n● z zidavo hiše so že daleč precej hiše so že sezidali; brez znanja ne prideš daleč ne boš imel uspehov; iron. daleč si prišel moralno, gospodarsko si zelo propadel; pripravila ga je celo tako daleč, da se je smejal dosegla je; ekspr. daleč sem od tega, da bi vse zanikal nikakor nočem vsega zanikati; ekspr. še (od) daleč mu ni podoben sploh ne; preg. jabolko ne pade daleč od drevesa otrok je tak kot starši; preg. počasi se daleč pride premišljena vztrajnost je koristnejša kot naglica; prim. dalj, dalje, dlje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",dáleč
"dánski -a -o prid. (ȃ) nanašajoč se na Dance ali Dansko: danski jezik / dansko kmetijstvo / ekspr. danski kraljevič Hamlet\n● iron. nekaj je gnilega v deželi danski v določenem kraju, družbi, organizaciji je veliko nepravilnosti, pokvarjenosti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",dánski
"dár -ú stil. -a m, tož. mn. stil. darí (ȃ) \n1. kar je dano komu v last brez plačila: dati dar; deliti darove; dobiti, prejeti v dar od koga; prinesti v dar; lep dar / dar narave; vznes. darovi zemlje pridelki\n // žgalni dar v različnih religijah pridelek ali žival, ki se sežge v čast božanstvu\n // nav. mn., star. daritev, darovanje: Dari opravit bog'nji po navadi prinese Črtomira lahka ladja (F. Prešeren) \n2. posebna nadarjenost ali sposobnost za kaj: za to nimam pravega daru; ima poseben dar za glasbo, za jezike / imela sta različne naravne darove; kritični, pesniški dar; dar opazovanja / imeti dar govora imeti sposobnost govorjenja; biti dober govornik\n● star. utrujen je bil in dišal mu je božji dar vino; jed; vznes. dobra žena je božji dar srečen je, kdor ima dobro ženo; star. prositi za božji dar za miloščino; knjiž. danajski dar ki ni dan iz prijaznosti, ampak z zahrbtnim namenom; iron. torej si spet dobil dar govora si pripravljen, hočeš spet govoriti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",dár
"delíti -ím nedov. (ī í) \n1. iz celote delati, napravljati dele: jarek deli njivo na dva dela; deliti na pet delov; zavesa deli sobo v dva prostora / dobiček sta pošteno delila / deliti ljudi na dobre in slabe\n2. nav. ekspr. od večje količine dajati po delih: mati jim je delila orehe in hruške / deliti darove, miloščino; darežljivo deliti / učitelj je delil zaušnice; pren., nav., iron. deliti nauke; deliti ljudem pravico\n3. navadno v zvezi z z ne imeti česa sam, ampak skupaj s kom: deliti sobo s prijateljem / z nikomer noče deliti oblasti, odgovornosti; prvo mesto si delita naš in avstrijski smučar / ekspr. delila je z možem veselje in žalost; deli usodo s svojimi tovariši, svojih tovarišev ima enako usodo\n // dajati kaj od svojega: vsak grižljaj je delila z njim; kar je imel, je delil z reveži; vedno je našel koga, da je delil z njim\n4. biti, nahajati se vmes: Gibraltarski preliv deli Afriko od Pirenejskega polotoka; delilo ju je rešetkasto okno; pren. od tega dogodka nas deli skoraj osemdeset let; štel je dneve, ki ga še delijo od vrnitve domov ločijo\n5. mat. delati računsko operacijo, pri kateri se ugotavlja, kolikokrat je deljenec večji od delitelja: deliti in množiti; deliti dvajset s pet\n● publ. ne delim vašega mnenja nisem takega mnenja kot vi; ekspr. dêli in vladaj! vnašaj neslogo med ljudi, narode, da jim boš lažje gospodoval, vladal\n♦ biol. celica se deli se razpolavlja tako, da se razpolovi najprej jedro, nato pa ostali del; lingv. deliti besedo prenesti del besede na koncu vrste v naslednjo\ndeljèn -êna -o: nosil je črno, deljeno brado; deljeni delovni čas delovni čas dopoldne in popoldne\n● v pisarno sem stopil z deljenimi občutki različnimi, negotovimi; mnenja so deljena so različna, se ne skladajo\n♦ mat. deset deljeno s pet je dve\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",delíti
"denár -ja m (á) \n1. splošno veljavno plačilno sredstvo in merilo vrednosti: imeti, posoditi denar; vložiti denar v hranilnico; denarja je zmanjkalo; služiti, zaslužiti veliko denarja; ostal je brez denarja; igrati za denar; dobiti plačilo v denarju / denar priteka, se steka v blagajno; denar je pošel; na lahek način priti do denarja; ekspr. lahko bi zaslužil na kupe denarja; ima denarja kot toče, kot pečka zelo veliko\n // ta denar je še v veljavi; država je zamenjala denar dala v obtok novo plačilno sredstvo; zamenjati denar v banki eno valuto za drugo; plačati z gotovim denarjem z gotovino; menjalnica denarja\n // kovinski ali papirnati predmeti, ki se uporabljajo kot plačilno sredstvo: dal mu je ves denar, ki ga je imel pri sebi; skrbno je začel preštevati denar; denarnico ima polno denarja; ponarejen, srebrn denar; ekspr. cel šop denarja je držal v rokah / menjati, zmenjati denar bankovec, kovanec večje vrednosti v drobiž; droben denar drobiž\n // kovinski, papirnati denar; poznam ga kot slab denar zelo dobro, zlasti po slabih lastnostih\n2. nav. ekspr., s prilastkom plačilo, znesek: dobiti za drag, velik denar; lepe denarje dobiva, pa vse zapravi; kupiti za majhen denar; tega ne prodam za noben denar\n● ekspr. denar se je ne drži ne hrani ga; je zapravljiva; ekspr. denar mu ne gre rad iz rok skop je; ekspr. sto tisoč, to je že denar to je velika vsota denarja; to blago je vredno svojega denarja njegova cena ustreza vrednosti; iron. ta ti je svojega denarja vreden je slab, pokvarjen človek; ekspr. kaj mislijo, da denar po tleh pobiramo, da denar delamo da ga na zelo lahek način zaslužimo; ekspr. denar spravlja v nogavico ga hrani doma; varčuje; pog. knjiga gre v denar proda se dosti izvodov knjige; pog. spraviti v denar prodati; pog. nisem pri denarju nimam denarja; ekspr. to je zlatega denarja vreden delavec zelo dober, marljiv; pog., ekspr. denar na roko ali pa nič plačati takoj in v gotovini; preg. denar je sveta vladar za denar se vse dobi; preg. za malo denarja malo muzike za majhno plačilo se malo dobi\n♦ ekon. aktivni denar; bančni denar bankovci emisijske banke in knjižni denar; knjižni denar imetje na bančnem računu, ki se uporablja kot plačilno sredstvo; kreditni denar državne in bančne zadolžnice, ki veljajo kot plačilno sredstvo; kupna moč denarja veljava denarja, izražena v količini blaga, ki se dobi za denarno enoto; obtok denarja krožno gibanje denarja med posameznimi sektorji narodnega gospodarstva; količina denarja, ki je v krožnem gibanju; vrednost denarja; fin. emisija denarja; razvrednotenje denarja\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016.",denár
