New column,New column (1)
báti se,"báti se bojím se nedov., bój se bójte se; bál se (á í) \n1. čutiti strah, biti v strahu: ponoči in v gozdu se otrok boji; nič se ne boj; hudo, močno, zelo se bati; na smrt se bojim; preh. bati se sovražnika; boji se ga kot hudič križa, kot živega vraga zelo\n // elipt.: nič se bati! pog. nič bati!\n // čutiti spoštljiv strah: fant se boji samo očeta; boga se bati; celo šefa se ne boji\n2. preh. s strahom pričakovati kaj neprijetnega: bati se kazni, smrti, toče, trpljenja / lakote se jim ni bati; tako oblečen se ne bojim mraza\n // ne želeti si, ne marati: bati se odgovornosti, stroškov, zamere; teh razgrajačev se vse boji / bojijo se njenega strupenega jezika\n3. z nedoločnikom kot predmetom ne imeti dovolj poguma, ant. upati si: vsako stvar se boji začeti; boji se jim zameriti; bal se je zaplavati; fantje so se bali (iti) k vojakom; boji se (iti) domov / ta se boji deklet se jih plašno izogiba\n4. biti v skrbeh za koga ali za kaj: starši se boje za otroke; boji se za njegovo srečo, zdravje / bati se za imetje, zaslužek / ne boj se, vse bo dobro; bal sem se, da me bodo napak razumeli; boji se, kaj bo / Janez se boji, da bo brat umrl; s pleonastično nikalnico boji se, da bi mu brat ne umrl, da mu brat ne umre boji se, da bi brat umrl\n5. ekspr. domnevati, meniti, misliti: bojim se, da ni tako, kot mislite; slišal se je krohot, da sem se bal, da bo sobo razneslo; bojim se, da se motiš; bojim se, da se ne motiš da imaš prav; ne boš mi ušel, ne boj se nikar ne misli\n // bojim se, da vas motim\n● ekspr. ni se bal ne biriča ne hudiča nikogar se ni bal; vse si je upal; ekspr. ali se ne bojiš boga kako si upaš kaj takega storiti; bati se lastne sence bati se vsega brez razlogov, biti plašljiv; pri tem delu se ga ne bojim upam se meriti z njim; preg. kogar je kača pičila, se boji zvite vrvi\nbojé se zastar.: šli so ga iskat, ne boje se mraza in noči\nbojèč se -éča -e: boječ se jeze, pikrih opazk; zastar. prečula je vso noč, neizmerno boječa se zanj; prim. boječ\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béba,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n béba -e ž (ẹ̑) zastar. deklica, punčka \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
béc,"béc -a m (ẹ̑) zastar. ficek, božjak: nimam niti beca\n♦ num. beneški novec za pol solda \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bedéčnost,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bedéčnost -i [bəd] ž (ẹ́) zastar. budno stanje; budnost \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belák,"belák -a m (á) zastar. bel prašič \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beléžnik,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n beléžnik -a m (ẹ̑) zastar. \n1. notar: napisali so ženitovanjsko pismo pri beležniku\n2. beležnica: beležnik z naslovi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
belokóžnik,"belokóžnik -a m (ọ̑) zastar. belokožec, belec \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
berílo,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n berílo -a s (í) \n1. učbenik s krajšimi sestavki za jezikovni pouk: izdati berila za osnovno šolo; slovensko berilo za šesti razred / prvo berilo za začetni pouk branja in pisanja\n // sestavek iz tega učbenika: za domačo nalogo napišite obnovo berila\n2. raba peša kar je namenjeno za branje; čtivo: detektivke so zabavno berilo; mladinsko berilo\n3. zastar. branje: prenehala je z berilom\n♦ rel. berilo odlomek iz svetega pisma, navadno iz pisem apostolov, ki se bere pri maši; šol. domače ali obvezno berilo literarna dela, ki jih morajo učenci prebrati doma\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
beséden,"beséden -dna -o prid. (ẹ̑) \n1. nanašajoč se na besedo: besedni pomen; besedni red / besedna družina; besedni zaklad vse besede, rabljene v kakem jeziku, delu; besedna komika; besedna šala / besedni boj ostra debata, polemika\n♦ lingv. besedna analiza opredeljevanje, opredelitev besede glede na besedno vrsto in obliko; besedna zveza zveza dveh ali več besed; lit. besedna igra besedna figura, ki obstoji iz dveh, blizu stoječih enakih ali podobnih besed z različnimi pomeni; besedna umetnost umetnost, ki ima za izrazno sredstvo besedo, jezik\n2. zastar. gostobeseden, zgovoren: naenkrat je postal ves beseden\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
betèk,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n betèk -tkà in bètek -tka [bət] m (ə̏ ȁ; ə̏) zastar. stegno (pri pticah) \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
betéžen,"betéžen -žna -o prid. (ẹ́ ẹ̄) onemogel, slab: star sem in betežen; hodil je upognjen in ves betežen; betežen starec / betežno telo\n // zastar. bolan, bolehen: izgovarjal se je, da ne more priti, ker je nekaj betežen \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bezjáča,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bezjáča -e ž (á) zastar. široka tesarska sekira; tesača: izdeloval je grablje in toporišča za bezjače \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bíks,"bíks -a m (í) zastar. loščilo (za čevlje): škatlica biksa\n● ekspr. ima čevlje na biks zelo se mu svetijo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bílo,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n bílo vez. (ȋ) zastar. naj (si) bo, bodisi: bilo pozimi bilo poleti, nikoli ni nosil klobuka \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bioskóp,"bioskóp tudi bioskòp -ópa m (ọ̑; ȍ ọ́) zastar. kino, kinodvorana: Ljubljana je dobila prvi bioskop \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
birìč,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n birìč -íča m (ȉ í) \n1. nekdaj nižji uslužbenec, izvrševalec odločb sodne ali zemljiške oblasti: birič je klical, zastar. oklicaval ukaze; uiti biričem; graščak je poslal biriče po kmeta; mestni birič; gleda kakor birič mrko, neprijazno; zastar. beži, kakor bi ga devet biričev podilo\n● ekspr. ni se bal ne biriča ne hudiča nikogar se ni bal; vse si je upal\n2. ekspr. osovražen predstavnik oblasti: preklinjati gospodo in biriče / Samo milijon nas je, milijon umirajočih med mrliči, milijon, ki pijejo mu kri biriči (Kajuh) \n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bítek,"bítek -tka m (ȋ) zastar. eksistenca, bivanje: človekov bitek na zemlji; duhovni bitek; boj za bitek / posameznikov bitek in žitek \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagájnica,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagájnica -e ž (ȃ) \n1. zastar. blagajna: odpreti blagajnico; železna blagajnica / popotniki so stali pred blagajnico / premoženje je zapadlo državni blagajnici\n2. redko ženska, ki vodi v društvu, organizaciji blagajniške posle; blagajničarka: sprejela je funkcijo blagajnice\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagájničar,"blagájničar -ja m (ȃ) zastar. blagajnik: blagajničar mu je izplačal denar / blagajničar društva \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagobít,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagobít -i ž (ȋ) zastar. blaginja, blagor: skrbeti za blagobit naroda; duševna blagobit \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagočúten,"blagočúten -tna -o prid. (ū) zastar. ki je blagih čustev: izobražen in blagočuten mož \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagočútje,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagočútje -a s (ȗ) zastar. ugodje, zadovoljstvo: prizor ga navdaja z blagočutjem \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagodár,"blagodár -a m (ȃ) zastar. sreča, blagoslov: ta dež je bil pravi blagodar za polje\n // miloščina: dati beraču blagodar \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagodúh,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagodúh -a -o prid. (ȗ ū) zastar. ki blago, prijetno diši: blagoduho cvetje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagodúšen,"blagodúšen -šna -o prid. (ū ȗ) zastar. ki je blage duše; plemenit, blag: blagodušna žena; tako blagodušna je, da vse žrtvuje zanj / njegov blagodušni in jasni obraz\nblagodúšno prisl.: blagodušno se je nasmehnil\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagodúšje,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagodúšje -a s (ȗ) zastar. plemenitost, blagost: hvaliti slovansko blagodušje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagodúšnost,"blagodúšnost -i ž (ū) zastar. plemenitost, blagost: čislal ga je zaradi njegove blagodušnosti; v svoji blagodušnosti je rad vsakemu pomagal \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagomíl,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagomíl -a -o prid. (ȋ ī) zastar. blag, mil: blagomila žena \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagomílje,"blagomílje -a s (ȋ) zastar. blagost, milina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagomíseln,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagomíseln -a -o [səl] prid. (ȋ) zastar. blag, mil: blagomiselni in pravični ljudje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagomíselnost,"blagomíselnost -i [səl] ž (ȋ) zastar. blagost, milina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagonôsen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagonôsen -sna -o prid. (ó ō) zastar. ki prinaša dobiček, korist; donosen: ti posli so zelo blagonosni\n // koristen, dobrodejen: blagonosni vpliv; njegovo blagonosno delovanje / blagonosni sončni žarki \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagonráven,"blagonráven -vna -o prid. (á ā) zastar. ki je blage, poštene nravi: krepostna in blagonravna dama \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagonrávje,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagonrávje -a s (ȃ) zastar. blaga, poštena nrav: po blagonravju ga je malokdo dosegal \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagonrávnost,"blagonrávnost -i ž (á) zastar. lastnost blagega, poštenega človeka: bil je znan po blagonravnosti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blágor,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blágor -gra m (ȃ) \n1. ed., s prilastkom duhovna in materialna korist: skrbeti za blagor domovine; javni, narodov blagor / telesni in duhovni blagor\n // nav. mn., star. dobrina: zbirati posvetne blagre / iron. vsako jutro uživa blagre mestnega prometa\n2. ed., zastar. sreča, blagoslov: nad hišo počiva blagor nebes / žarg., lov. lovski blagor uspešen lov, obilen plen\n3. v medmetni rabi izraža veselje, zadovoljnost nad srečo koga: blagor ti, da si zdrav; blagor mu, da ni poznal naših težav; blagor blagor jim, ker se jim ni treba pripravljati za izpit; blagor, trikrat blagor mu; star.: blagor se ti; blagor si ga tistemu, ki jo bo dobil\n♦ rel. osmero blagrov povzetek krščanskega moralnega nauka\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagoródnost,"blagoródnost -i ž (ọ̄) zastar. plemenitost: ta človek nima z blagorodnostjo nič opraviti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blágost,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blágost -i ž (ā) \n1. knjiž. dobrosrčnost, milina: iz njenih oči gleda blagost\n2. zastar. sreča, blaginja: želim vam vso blagost; skrbeti za javno blagost\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagostánje,"blagostánje -a s (ȃ) obilje materialnih dobrin: doseči večje blagostanje; truditi se za blagostanje prebivalstva; živeti v sreči in blagostanju / zastar. dušno in telesno blagostanje blaginja, blagor \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagotvóren,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagotvóren -rna -o prid. (ọ̄) zastar. blagodejen, dobrodejen: njegove besede so imele blagotvoren vpliv \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagougódje,"blagougódje -a s (ọ̑) zastar. ugodje, zadovoljstvo: vzklikati od blagougodja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagovóljen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blagovóljen -jna -o prid. (ọ́ ọ̄) zastar. blagohoten, dobrohoten: blagovoljni bralci naj sami ocenijo knjigo / dati blagovoljen nasvet\nblagovóljno prisl.: upam, da mi boste zamudo blagovoljno oprostili\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blagovóljnost,"blagovóljnost -i ž (ọ́) zastar. blagohotnost, dobrohotnost: že na obrazu se mu zrcali blagovoljnost \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
blázen,"SSKJ Kliknite, če želite geslo skopirati v odložišče \n \n blázen -zna -o prid., bláznejši (á ā) \n1. duševno bolan: biti blazen; versko blazen / pretresel me je blazni smeh; gara kot blazen na vso moč\n // ekspr. tak kot pri duševno bolnih: njegovi blazni načrti; to je blazna misel; blazno početje\n2. ekspr., navadno v povedni rabi zaradi močnega čustva zelo razburjen: biti blazen od obupa, veselja, žalosti\n3. ekspr. ki zelo presega navadno mero: blazen strah pred kaznijo; blazna jeza / blazne cene; plačal je blazno vsoto denarja / vozil je z blazno hitrostjo\nblázno prisl.: blazno se boji; sovražnik je blazno streljal; blazno pogumna pustolovščina; blazno zaljubljen; pog. blazno rad ima potico zelo rad; sam.: zastar. bolnišnica za blazne bolnišnica za duševne bolezni\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
