bes,besedilo
blóden,"blóden tudi blôden -dna -o prid. (ọ́; ó) \n1. nejasen, zmeden zaradi vročice: blodni privid vročičnega človeka; blodna misel; bolnik leži v blodnih sanjah; blodno govorjenje / blodni pogledi izčrpanih mož\n2. knjiž. zgrešen, zmoten: blodni nauki; blodne ideje / stopiti na blodno pot\n3. knjiž. ki blodi, blodeč: svetilnik kaže blodnim mornarjem pot; pesn. blodni mesec, veter\n4. zastar. razuzdan, razvraten: blodna ženska\nblódno tudi blôdno prisl.: oči mu blodno sijejo; blodno je pogledovala na vse strani\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bohòt,"bohòt -ôta m (ȍ ó) pesn. bohotenje, bohotnost: bajni bohot cvetov \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bôjen,"bôjen -jna -o prid. (ó) nanašajoč se na boj: sklical je borce na bojni posvet; bojna tovariša sva; prebiti bojno črto; spremlja ga bojna sreča; bojna vrsta; pesn. bojna poljana bojišče\n // bojni plini; bojna oprema; bojna sekira orožje iz najstarejših časov; bojno letalo / bojni klic; peti bojne pesmi; bojni plesi; bojne igre igre, ki ponazarjajo boj\n● neustalj. biti s kom na bojni nogi, v bojnem stanju sprt\n♦ voj. bojna ladja velika, močno oklopljena vojna ladja, oborožena s topovi raznih kalibrov in torpedi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bolán,"bolán bólna -o tudi -ó [u̯n] prid. (ȃ ọ́) \n1. ki ima bolezen, ant. zdrav: bolan otrok; njegov oče je že dolgo bolan; že celo zimo leži bolan; videti je bolan; naredil se je bolnega; doma ima bolno mater; bolan na pljučih, na srcu; bolan na smrt, za smrt; bolan za jetiko, za rakom; hudo, neozdravljivo, nevarno, težko bolan; duševno, spolno, živčno bolan; revež je ves bolan\n // ki izraža, kaže bolezen: govori s tresočim se, bolnim glasom; bled, bolan obraz; bolno dihanje; pren. bolne ambicije, sanje; obhajajo ga bolne misli; bolna občutljivost, razdraženost; pesn.: bolna duša; bolno srce\n2. ekspr., navadno v povedni rabi zaradi močnega čustva prizadet, vznemirjen: kar bolan je od sreče; bolan od bridkosti, ljubosumnosti, domotožja\nbólno prisl.: bolno nasmehniti se, vzdihniti; bolno zakašljati; bolno bled v obraz / knjiž. vest o smrti je bolno odjeknila v vseh nas boleče\nbólni -a -o sam.: zdravi ne razume bolnega; dieta za žolčno bolne\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bolečína,"bolečína -e ž (í) \n1. neugoden telesni občutek zaradi bolezni, udarca: bolečina je malo popustila; čutiti, imeti, trpeti bolečine; njegov krik je izražal bolečino; lajšati bolečine; kričati, stiskati zobe od bolečin; huda, pekoča, topa bolečina; bolečine v križu, v prsih; zdravilo proti bolečinam / porodne bolečine\n2. občutek duševnega trpljenja: bolečina mu kljuje v srcu; duševne bolečine; sin mu je prizadejal veliko bolečin; pesn. bolečina slovesa; zastar. srčne bolečine\n3. zastar. boleče mesto, rana: če pritisneš kamen na rano ali kako drugo bolečino, pa ti odleže\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bóter,"bóter -tra m (ọ́) \n1. rel. zastopnik otroka pri krstu ali priča pri birmi: kdo bo tvoj boter; biti, iti za botra; birmanski, krstni boter; pren. tej komediji so kumovali razni literarni botri\n // navadno kot nagovor starejši znan moški; stric: boter, kam pa greste? / iron., šalj. ej, ne verjamem ti, boter! / pesn. boter Mesec\n2. častni zastopnik otroka pri vpisu osebnega imena v rojstno matično knjigo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brég,"brég -a m, mn. bregóvi stil. brégi; mest. mn. stil. bregéh (ẹ̑) \n1. pas zemlje ob vodi: voda izpodjeda, odnaša breg; reka je prestopila bregove; priveslati do brega; odriniti od brega; plavati proti bregu; reka stopi, udari čez bregove; valovi butajo, pljuskajo ob breg; nizek, peščen, skalnat breg; breg jezera, reke / desni breg reke gledano v smeri toka\n // morski breg / stopiti na breg na kopno, na suho; pren. Ti se ne boš mogla nikoli odtrgati od svojega sveta in je zato bolje, da pretrgaš vse zveze z menoj, ki stojim odločno na nasprotnem bregu (M. Mihelič) \n2. nagnjen svet, strmina: hiše so pomaknjene v breg; stekel je po bregu v dolino; hud, položen, strm breg / pesn. breg in dol; v breg hoditi, voziti navkreber; postavil si je hišo na bregu na hribu; hiša v bregu na pobočju\n● nar. izpod brega gledati jezno, grdo; pog. ima nekaj za bregom nekaj skriva, taji; nekaj skrivaj pripravlja, namerava storiti; preg. tiha voda bregove dere na zunaj tih, miren človek je zmožen storiti kaj nepričakovanega\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brezbréžen,"brezbréžen -žna -o prid. (ẹ̄) knjiž. ki je brez brega, meje: vsenaokrog brezbrežno morje / brezbrežen prostor; brezbrežna pokrajina, ravnina; pren., pesn. brezbrežna tišina \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brezdánji,"brezdánji -a -e prid. (ā) knjiž. ki je brez dna, zelo globok: brezdanji prepad; brezdanja globina; okrog in okrog brezdanja voda\n // ekspr. ki zelo presega navadno mero: brezdanji obup; brezdanja bolečina, žalost; v očeh je žarelo brezdanje sovraštvo / pesn. brezdanja modrina, tema\nbrezdánje prisl.: brezdanje mirni pogled\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brezdánjost,"brezdánjost -i ž (ā) knjiž. značilnost brezdanjega: brezdanjost prepada / strmoglaviti v brezdanjost globino\n // brezdanjost časa / pesn. omamna brezdanjost življenja\n // pesn. neskončost, neizmernost: sence so se gubile v brezdanjost; strmeti v brezdanjost \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brezglásje,"brezglásje -a s (ȃ) knjiž. molk, tišina: mirno, negibno brezglasje\n // pesn. večnost, onstranstvo: biti onstran smrti v brezglasju \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brnênje,"brnênje -a s (é) glagolnik od brneti: sliši se drdranje in brnenje; brnenje televizijskih kamer, motorja; brnenje strune, brzojavnih žic; pesn. brnenje poletja\n♦ rad. motnja, ki jo pri sprejemu povzroča omrežna frekvenca \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bròn,"bròn brôna m (ȍ ó) \n1. zlitina bakra in drugih kovin: vlivati bron; vrata iz brona; glasovi zvenijo kot bron / spomenik v bronu iz brona\n // publ. za tekmovalko je letos na olimpijskih igrah ostal samo bron bronasta kolajna\n♦ elektr. elektrotehnični bron z velikim odstotkom bakra; metal. berilijev bron zlitina bakra in berilija\n // žarg., um. umetniški izdelek iz te zlitine: na razstavi je bilo največ bronov\n2. pesn. bronast zvon: iz stolpa je donel bron\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brzokríl,"brzokríl -a -o prid. (ȋ ī) pesn. ki je brzih, hitrih kril: brzokrili metulji; brzokrila lastovica \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
brzonóg,"brzonóg -a -o prid. (ọ̑ ọ̄) pesn. ki je brzih, hitrih nog: brzonogi sel; brzonoga srna \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
budíti,"budíti -ím nedov., bujèn (ī í) \n1. povzročati prehajanje iz spečega stanja v budno: dolgo je budila zaspanca; ropot budi ljudi iz spanja; ptice se že budijo / buditi bolnika iz omame; pren. pomlad budi naravo\n2. knjiž. povzročati, da kaj nastane; vzbujati: pesem mi budi spomin na mladost; pogled nanj ji budi žalostne misli; buditi radovednost, občudovanje, upanje / buditi v ljudeh narodno zavest; v srcu se mu budi sočutje\nbudíti se pesn. porajati se, nastajati: pomlad, jutro se budi\nbudèč -éča -e: domišljijo budeče razvaline; budeči se dan\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bújen,"bújen -jna -o prid., bújnejši (ū) \n1. ki lepo in obilno raste: bujna trava; bujno cvetje, zelenje / bujni lasje; pesn. bujna pomlad\n2. ekspr. močno in lepo razvit: bujna ženska; dekle bujnih oblik / bujna rast\n3. ki obstaja v zelo veliki meri: naš fant ima bujno domišljijo; to izvira iz njegove bujne fantazije / bujne barve jeseni\nbújno prisl.: bujno rasti; književnost se bujno razvija; bujno cvetoče češnje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
bújnost,"bújnost -i ž (ū) lastnost, značilnost bujnega: bujnost rasti / občudoval je bujnost njenih las; pesn. bujnost pomladi / barvna bujnost \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
búkovje,"búkovje -a s (ú) bukov gozd: iz bukovja se je oglasila kukavica; gosto, mlado bukovje; pesn. zeleno bukovje / bukovje že zeleni bukovo drevje \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cár,"cár -ja m (ȃ) \n1. v nekaterih slovanskih državah, nekdaj vladar: ruski car; srbski car Dušan / star. beli car ruski\n2. star. cesar: francoski, turški car / pesn. pridi, pridi, višine car [sonce], med svoje služabnice zveste (O. Župančič) \n● žarg., šol. zeleni car študent višjega letnika, ki vodi šaljivi obred sprejemanja brucov v študentovsko skupnost\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
césta,"césta -e ž, mn. stil. cesté (ẹ́) \n1. širša, načrtno speljana pot, zlasti za promet z vozili: ceste se križajo, vzpenjajo; kam drži, pelje ta cesta; prečkati cesto; zapeljati s ceste; priti na cesto; stati na cesti; vas leži ob cesti; iti, voziti se po cesti; dolga, ravna, široka cesta; blatna, poledenela cesta; asfaltirana, makadamska cesta; cesta Ljubljana-Zagreb / pesn. bela cesta / dela pri cesti pri gradnji ali vzdrževanju ceste\n // avtomobilska cesta namenjena za motorni promet; dovozna, enosmerna, glavna, gozdna, hitra, javna, obvozna, slepa cesta; cesta prvega reda ki povezuje države, republike ali gospodarsko in turistično pomembna središča\n // pesn. Morja široka cesta peljala me je v mesta (F. Prešeren) \n2. redko, s prilastkom razdalja, ki jo je treba preiti do namembnega kraja; pot: cesta do tja je še dolga; izbral si je najkrajšo cesto; pren. njegova življenjska cesta je bila kratka\n3. redko možnost za premikanje iz enega kraja v drugega; pot: tu ni več nobene ceste / tu ni ceste ni dovoljen prehod; pren. ljudje so postavili medse pregrade, zapravili vest in zapravili ceste (M. Klopčič) \n4. redko način, sredstvo za dosego česa; pot: do učenosti ne drži gladka cesta\n● slabš. otroka je vzgajala cesta prepuščen je bil slabim vplivom pouličnega življenja; ekspr. kar dobro je meril cesto pijan se je opotekal po njej; miličnik odpira in zapira cesto dovoljuje in prepoveduje prehod; ekspr. čudna poroka, kar s ceste jo je pobral ni dosti vedel o njej, o njeni družini in življenju; ekspr. pognati, postaviti, vreči koga na cesto dati koga iz službe ali iz stanovanja; ekspr. biti na cesti biti brez službe ali brez stanovanja; na cesti je bil že mrak zunaj je bilo že temno; ekspr. zmeraj je na cesti vedno hodi okrog, nikoli ga ni doma; ekspr. misliš, da denar na cesti pobiram! da ga na lahek način zaslužim; zastar. železna cesta železnica, vlak\n♦ astr. Rimska cesta medlo se svetlikajoči pas na nebu, ki ga sestavljajo številne, zelo oddaljene zvezde; avt. hitra cesta za vozila z večjo hitrostjo; odprta cesta na kateri ni omejitve hitrosti; prednostna cesta na kateri imajo vozila prednost pred vozili z drugih cest; urb. dvopasovna cesta; vpadna cesta ali cesta vpadnica ki povezuje središče mesta z zunanjimi četrtmi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
curljáti,"curljáti -ám nedov. (á ȃ) teči, polzeti v tankem curku: dež curlja; studenec curlja v korito; pot mu curlja po obrazu; brezoseb.: skozi streho je curljalo; od obleke je kar curljalo; pren., pesn. sončna svetloba curlja skozi drevje\ncurljajóč -a -e: curljajoča kri; curljajoč zid zid, po katerem curlja\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cvét,"cvét -a m, mn. cvéti in cvetóvi (ẹ̑) \n1. del rastline, značilen po lepi obliki in barvi: cvet se odpre, osuje, ovene; rastlina razvije cvet; utrgati cvet; čebele obletavajo cvet za cvetom; bel, dišeč, pisan cvet; češnjev, makov cvet; cvet vrtnice; barvitost cvetov / rastlina je že nastavila cvete pognala cvetne popke; roža gre v cvet začenja cveteti; solata gre v cvet poganja steblo s cveti; drevo bo kmalu v cvetu bo cvetelo; pren., pesn. razcvel se je cvet ljubezni; cvet upanja\n2. ekspr., navadno s prilastkom izbran, najlepši, najpomembnejši del: tam je bil zbran cvet deklet; cvet inteligence, naroda / bila je cvet deklet najlepša med dekleti; vznes.: biti v cvetu let, življenja mlad; umrla je v cvetu mladosti zelo mlada\n● iron. ta je šele (pravi) cvet živahen, podjeten, nevzgojen (mlad) človek; ekspr. ona je v polnem cvetu zelo lepa, mlada; star. bobov ali rožni cvet junij\n♦ bot. brezspolni cvet; dvospolni cvet ki ima prašnike in pestiče; enospolni cvet ki ima samo prašnike ali samo pestiče; goli cvet ki je brez cvetnega odevala; pestični ali ženski cvet ki ima samo pestiče; prašni ali moški cvet ki ima samo prašnike; farm. (vinski) cvet etanol, etilalkohol; min. žveplov cvet žveplo v obliki iglic\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cvèten,"cvèten in cvetèn cvètna -o in -ó, stil. cvetèn -tnà -ò, in cvêten -tna -o [kratko naglašeno in nenaglašeno vət] prid. (ə̀ ə̏ ə̀; ə̏ ȁ; é) poln cvetja, cvetoč: cvetni travniki; cvetna polja; pesn.: cvetni maj; cvetna pomlad; pren. cvetna mladost; cvetno lice\n♦ rel. cvetna nedelja zadnja nedelja pred veliko nočjo \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
cvétje,"cvétje -a s (ẹ́) \n1. cveti, cvetovi: cvetje diši; cvetje odpada, poganja; belo cvetje; češnjevo, lipovo cvetje / pog. piti bezgovo cvetje čaj iz bezgovega cvetja\n // vse je v cvetju vse cvete; pren., pesn. cvetje moje duše; cvetje sanj\n // rože, cvetlice: trgati cvetje; planinsko cvetje; šopek cvetja / rezano cvetje v nasadih odrezane rože, namenjene za prodajo\n2. star. cvetenje: presaditi rastlino pred cvetjem; čas cvetja\n● knjiž. zlo gre v cvetje zelo veliko ga je; ekspr. gospodarstvo je v cvetju v razmahu, razcvetu; zastar. cvetje slovenskega pesništva antologija, izbor\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
